Company,Skills
"PRIMEX IMMIGRATION LLP
     (More Jobs)","('gnm', 'gnm nurse', 'nursing', 'healthcare', 'staff nurse', 'icu nurse', 'medical icu', 'cardiac', 'cardiology')"
"ARD Recruitment
     (More Jobs)","('nurse', 'icu', 'micu', 'sicu')"
RG STONE UROLOGY & LAPAROSCOPY HOSPITAL,"('patient care', 'nursing standards', 'collaboration', 'infection control', 'health education', 'emergency', 'midwifery', 'staff nurse', 'nursing superintendent', 'nursing care', 'gnm', 'iv')"
BABY JOY PRODUCTS PVT LTD,"('nursing care', 'basic computer', 'ot procedures', 'documentation', 'nursing software', 'gnm', 'staff nurse')"
IQVIA,"('clinical nursing', 'medical device', 'customer service', 'leadership', 'communication', 'healthcare', 'nurse', 'patient care', 'nursing staff')"
IQVIA,"('clinical nursing', 'medical device', 'customer service', 'communication', 'leadership', 'healthcare', 'nurse', 'patient care', 'nursing staff')"
IQVIA,"('clinical nursing', 'medical device technology', 'customer service', 'communication', 'leadership', 'healthcare', 'nurse', 'patient care', 'nursing staff')"
"SKYWALK VISA IMMIGRATION SERVICES LLP
     (More Jobs)","('nursing', 'medical', 'medicine', 'healthcare', 'healthcare management', 'patient care', 'patient handling', 'good communication', 'nurse', 'staff nurse', 'icu nurse', 'critical care', 'icu', 'cases')"
IQVIA,"('clinical nursing', 'medical device', 'customer service', 'communication skills', 'leadership experience', 'healthcare', 'nurse', 'patient care', 'nursing staff')"
"SKYWALK VISA IMMIGRATION SERVICES LLP
     (More Jobs)","('nurse supervisor', 'staff nurse', 'icu nurse', 'medical icu', 'medicine', 'doctor', 'nurse assistant', 'nursing', 'nurse', 'attendant', 'caregiver', 'carer')"
IQVIA,"('clinical nursing', 'customer service', 'medical device technology', 'infusion pump handling', 'hospital experience', 'healthcare', 'nurse', 'patient care', 'nursing staff')"
KG TIGER,"('surgical technologist', 'nurse', 'operating room')"
IQVIA,"('medication administration', 'blood collection', 'patient education', 'documentation', 'pediatric care ###', 'nursing', 'nurse')"
IQVIA,"('clinical nursing', 'healthcare professionals collaboration', 'medical device technology', 'room to room coordination', 'infusion pump configuration', 'patient care', 'nursing staff')"
IQVIA,"('nursing qualification', 'cantonese', 'mandarin', 'interpersonal skills', 'education skills', 'health', 'patient care', 'healthcare', 'patient education', 'nurse')"
Sri Sai Super Speciality Hospital,"('nursing care', 'nicu expertise', 'patient monitoring', 'medical knowledge', 'communication skills', 'trauma', 'health', 'gynaecology', 'nabh', 'medicine', 'pulmonology', 'cardiology', 'healthcare', 'nephrology', 'rehabilitation', 'pediatrics', 'urology', 'staff nurse', 'neurosurgery', 'neurology', 'endocrinology')"
Quality HR Services,"('safety', 'health', 'communication', 'logical thinking', 'clinical knowledge', 'emergency', 'nursing', 'healthcare', 'nurse', 'gnm')"
IQVIA,"('patient support', 'program coordination', 'healthcare services', 'administrative assistance', 'communication skills', 'nurse')"
IQVIA,"('clinical research', 'blood withdrawal', 'ecg', 'medical terminology', 'data entry', 'clinical research coordinator', 'clinical trials', 'life sciences', 'edc')"
SITARAM BHARTIA INSTITUTE OF SCIENCE AND RESEARCH,"('continuous glucose', 'indoor patient', 'counselling', 'diabetes clinic')"
"Space COnsultant
     (More Jobs)","('leadership', 'clinical expertise', 'problem-solving', 'administrative skills', 'adaptability', 'conflict resolution', 'team collaboration')"
IQVIA,"('patient education', 'healthcare adherence', 'communication skills', 'teamwork', 'data entry', 'clinical research', 'life sciences')"
IQVIA,"('patient adherence', 'health education', 'subcutaneous medication', 'communication skills', 'teamwork', 'clinical research', 'life sciences')"
IQVIA,"('health education', 'patient adherence', 'communication skills', 'teamwork', 'healthcare treatment', 'clinical research', 'life sciences')"
"FLIGHT TO SUCESS IMMIGRATION LLP
     (More Jobs)","('staff nurse', 'nurse', 'nurse assistant', 'physician assistant', 'nurse practitioner', 'nurse supervisor')"
sapphire hospital,"('ot', 'gnm', 'staff nurse', 'endoscopy', 'nursing', 'nabh')"
"2COMS Consulting Pvt Ltd
     (More Jobs)","('nurse', 'skilled nurse', 'staff nurse', 'healthcare')"
SITARAM BHARTIA INSTITUTE OF SCIENCE AND RESEARCH,"('labour room', 'bls', 'nursing', 'nursing care')"
pallium india,"('**    patient care', 'pain management', 'symptom management', 'information sharing', 'confidentiality practices   **', 'staff nurse', 'nursing')"
pallium india,"('nursing care', 'pain management', 'symptom management', 'compassionate care', 'communication skills', 'gnm', 'nursing skills', 'doctor', 'midwifery', 'nurse')"
RG STONE UROLOGY & LAPAROSCOPY HOSPITAL,"('patient care', 'surgical procedures', 'medication administration', 'documentation management', 'infection control', 'ot', 'gnm', 'surgeon', 'emergency', 'nursing', 'operation theatre', 'staff nurse')"
RG STONE UROLOGY & LAPAROSCOPY HOSPITAL,"('infection control', 'surveillance', 'hand washing', 'training program', 'audit practices', 'gnm', 'nursing', 'nabh', 'healthcare', 'urology', 'nurse')"
IQVIA,"('education', 'communication', 'gastroenterology', 'clinical', 'nursing', 'healthcare', 'patient education', 'nurse')"
RG STONE UROLOGY & LAPAROSCOPY HOSPITAL,"('infection control', 'surveillance', 'training program', 'monitor implementation', 'audit practices', 'gnm', 'nursing', 'nabh', 'healthcare', 'nurse')"
sapphire hospital,"('gnm', 'nurse', 'ecg', '2d echo', 'cardiology')"
RG STONE UROLOGY & LAPAROSCOPY HOSPITAL,"('nursing care standards', 'emergency response skills', 'clinical assessment skills', 'patient communication skills', 'quality assurance activities', 'health education', 'surgeon', 'infection control', 'anesthesia', 'midwifery', 'staff nurse', 'anaesthetist', 'gnm', 'patient care', 'doctor', 'operation theatre')"
RG STONE UROLOGY & LAPAROSCOPY HOSPITAL,"('emergency care', 'patient monitoring', 'medical equipment maintenance', 'quality assurance', 'nursing documentation', 'health education', 'surgeon', 'infection control', 'anesthesia', 'dressing', 'midwifery', 'staff nurse', 'anaesthetist', 'nursing care', 'gnm', 'patient care', 'iv', 'doctor')"
"World Overseas immigration Consultancy Pvt Ltd
     (More Jobs)","('lab technician', 'cathlab', 'cath lab', 'cardiac', 'icu', 'neurology', 'pediatric', 'nicu', 'staffnurse', 'nurse', 'staff nurse', 'registered nurse', 'worldoverseas', 'male', 'female', 'ot', 'iccu', 'midwide')"
"World Overseas immigration Consultancy Pvt Ltd
     (More Jobs)","('lab technician', 'cardiac', 'icu', 'cardiology', 'oncology', 'pediatric', 'nicu', 'dialysis', 'staffnurse', 'staff nurse', 'registered nurse', 'worldoverseas', 'nurse', 'nursing', 'medical', 'medicine', 'ot')"
"Space COnsultant
     (More Jobs)","('infection control knowledge', 'analytical skills', 'emergency preparedness', 'collaboration and teamwork', 'critical thinking', 'communication')"
"World Overseas immigration Consultancy Pvt Ltd
     (More Jobs)","('lab technician', 'cathlab', 'cath lab', 'cardiac', 'icu', 'cardiology', 'neurology', 'oncology', 'pediatric', 'nicu', 'dialysis', 'staffnurse', 'nurse', 'staff nurse', 'registered nurse', 'worldoverseas')"
"World Overseas immigration Consultancy Pvt Ltd
     (More Jobs)","('lab technician', 'cathlab', 'cath lab', 'cardiac', 'icu', 'cardiology', 'neurology', 'oncology', 'pediatric', 'nicu', 'dialysis', 'critical care', 'staffnurse', 'nurse', 'staff nurse', 'registered nurse')"
"World Overseas immigration Consultancy Pvt Ltd
     (More Jobs)","('lab technician', 'cathlab', 'cath lab', 'cardiac', 'icu', 'cardiology', 'neurology', 'pediatric', 'nicu', 'dialysis', 'critical care', 'nurse', 'staff nurse', 'registered nurse', 'anm', 'gnm', 'bsc', 'ot')"
"2COMS Consulting Pvt Ltd
     (More Jobs)","('""staff nurse""', '""nurse""', 'hospital nurse""', '""home care nurse""', '""general nurse""')"
"2COMS Consulting Pvt Ltd
     (More Jobs)","('""staff nurse""', 'hospital nurse""', 'ot nurse""', '""mental health nurse""', 'midwife nurse""', 'medical nurse""', '')"
"2COMS Consulting Pvt Ltd
     (More Jobs)","('staff nurse', 'hospital nurse', 'ot nurse', 'mental health nurse', 'midwife nurse', 'medical nurse')"
"FLIGHT TO SUCESS IMMIGRATION LLP
     (More Jobs)","('gnm', 'bsc staff nurse', 'staff nurse', 'senior staff nurse', 'bsc nurse')"
Dr. Mehta Hospital Pvt Ltd,"('doctor', 'staff nurse', 'emergency', 'icu', 'nursing', 'medicine', 'iv', 'picu')"
"2COMS Consulting Pvt Ltd
     (More Jobs)","('home care nurse',)"
"2COMS Consulting Pvt Ltd
     (More Jobs)","('home care nurse', '""staff nurse""', '""bscnurse""', '""gnm nurse""')"
"2COMS Consulting Pvt Ltd
     (More Jobs)","('home care nurse', 'bsc  /  gnm')"
pallium india,"('nursing supervision', 'patient care', 'inventory management', 'store management', 'software entry', 'nursing staff')"
IQVIA,"('nursing certification', 'clinical experience', 'teaching  /  training', 'written communication', 'presenting skills', 'health', 'healthcare', 'nurse', 'nurse educator')"
"Srv global consultancy Pvt Ltd
     (More Jobs)","('nursing', 'healthcare', 'healthcare management', 'hospital administrator', 'healthcare industry', 'medical devices', 'medical equipment', 'nurse', 'staff nurse', 'patient care')"
RG STONE UROLOGY & LAPAROSCOPY HOSPITAL,"('nursing care', 'patient monitoring', 'collaboration', 'quality improvement', 'infection control', 'health education', 'emergency', 'midwifery', 'staff nurse', 'nursing superintendent', 'gnm', 'patient care', 'iv')"
IQVIA,"('nursing certification', 'clinical experience', 'teaching  /  training', 'communication skills', 'adaptability', 'health', 'healthcare', 'nurse', 'nurse educator')"
IQVIA,"('clinical trials', 'data collection', 'nursing', 'medication administration', 'healthcare compliance', 'nurse')"
IQVIA,"('written communication', 'verbal communication', 'presentation skills', 'clinical experience', 'teaching experience', 'nursing', 'nurse', 'nurse educator')"
IQVIA,"('registered nurse', 'clinical trial', 'data collection', 'pediatric nursing', 'bls certification', 'health')"
IQVIA,"('clinical research', 'data collection', 'medication administration', 'patient assessment', 'labelling and shipment', 'health', 'nursing', 'healthcare', 'nurse')"
pallium india,"('palliative care', 'end of life care', 'pain management', 'medication administration', 'psycho socio spiritual support', 'health', 'nursing', 'clinical support', 'nurse', 'physician')"
RG STONE UROLOGY & LAPAROSCOPY HOSPITAL,"('**  patient care management', 'emergency response skills', 'triage and assessment', 'communication skills', 'quality assurance participation **', 'health education', 'surgeon', 'nursing', 'infection control', 'anesthesia', 'midwifery', 'staff nurse', 'anaesthetist', 'nursing care', 'gnm', 'iv', 'doctor')"
IQVIA,"('clinical research', 'nursing care', 'data collection', 'medication administration', 'patient assessment', 'health', 'healthcare', 'nurse')"
IQVIA,"('clinical education', 'medical device', 'peer to peer training', 'critical care', 'travel flexibility', 'nursing', 'healthcare', 'icu', 'patient care')"
IQVIA,"('registered nurse', 'clinical trials', 'patient care', 'data collection', 'labelling and shipping', 'health', 'nursing')"
IQVIA,"('clinical nursing', 'medical education', 'training physicians', 'hemodynamics knowledge', 'travel flexibility', 'healthcare', 'icu', 'patient care')"
IQVIA,"('clinical education', 'medical devices', 'training  &  in servicing', 'critical care', 'travel flexibility', 'nursing', 'healthcare', 'icu', 'patient care')"
IQVIA,"('clinical education', 'medical device training', 'nursing expertise', 'critical care', 'travel flexibility', 'healthcare', 'icu', 'patient care')"
IQVIA,"('clinical education', 'medical device training', 'hemodynamics expertise', 'critical care experience', 'travel flexibility', 'nursing', 'healthcare', 'icu', 'patient care')"
IQVIA,"('clinical research', 'study coordination', 'nursing care', 'data management', 'patient interaction', 'principal', 'science')"
IQVIA,"('clinical assessment', 'field sales', 'surgical education', 'relationship building', 'territory management', 'communication', 'presentation skills', 'compensation', 'employee performance')"
IQVIA,"('clinical research', 'study coordination', 'health  &  safety', 'data entry', 'medical terminology', 'clinical research coordinator', 'life sciences', 'clinical trials', 'research assistant', 'edc')"
IQVIA,"('clinical research', 'coordination', 'patient care', 'data management', 'study protocols', 'principal', 'science')"
"World Overseas immigration Consultancy Pvt Ltd
     (More Jobs)","('cathlab', 'cardiac', 'icu', 'cardiology', 'neurology', 'oncology', 'pediatric', 'nicu', 'dialysis', 'critical care', 'staffnurse', 'nurse', 'staff nurse', 'registered nurse', 'worldoverseasimmigration')"
"FLIGHT TO SUCESS IMMIGRATION LLP
     (More Jobs)","('intensive care', 'dentist', 'nurse', 'canada', 'staff nurse', 'male nurse', 'occupational health nurse', 'nursing', 'general nursing', 'nursing care', 'healthcare')"
"World Overseas immigration Consultancy Pvt Ltd
     (More Jobs)","('cardiac', 'icu', 'critical care', 'neurology', 'oncology', 'intensive care', 'emergency care', 'opd', 'emergency', 'nurse', 'staff nurse', 'icu nurse', 'icu care', 'medical icu', 'nicu', 'picu', 'iccu')"
"2COMS Consulting Pvt Ltd
     (More Jobs)","('nurse', '""staff nurse""', '""surgical nurse""', '""medical surgical nurse""')"
IQVIA,"('clinical education', 'medical devices', 'nursing expertise', 'peer education', 'leadership development', 'oncology', 'healthcare', 'nurse', 'icu', 'patient care')"
"Srv global consultancy Pvt Ltd
     (More Jobs)","('staff nurse', 'nursing', 'medical', 'doctor', 'medicine', 'nurse', 'healthcare', 'healthcare management', 'healthcare operations', 'patient care', 'patient handling', 'patient counseling')"
IQVIA,"('clinical trials', 'nursing assessment', 'data collection', 'sample handling', 'medication administration', 'health', 'nurse')"
IQVIA,"('clinical education', 'medical devices', 'nursing expertise', 'patient monitoring', 'peer to peer education', 'healthcare', 'icu', 'patient care')"
"WE CONSULTANTS
     (More Jobs)","('marketing for ivf centre', 'nurse for ivf centre', 'front office executive for ivf centre')"
IQVIA,"('clinical research', 'medical assessment', 'study protocols', 'data collection', 'compliance monitoring', 'clinical data', 'gcp', 'clinical study', 'interpretation', 'regulatory', 'crf', 'life sciences')"
IQVIA,"('clinical research', 'study coordination', 'healthcare knowledge', 'data management', 'interpersonal skills', 'principal', 'science')"
IQVIA,"('**  clinical study management', 'patient care support', 'data quality control', 'application proficiency   (  ms office  )', 'recruitment  &  screening **', 'edc', 'clinical research coordinator', 'life sciences')"
IQVIA,"('clinical research', 'study coordination', 'patient care', 'data management', 'quality control', 'principal', 'science')"
IQVIA,"('**  clinical research', 'study coordination', 'patient care', 'data management', 'medical procedures **', 'principal', 'science')"
IQVIA,"('clinical research', 'study coordination', 'patient care', 'data entry', 'medical knowledge', 'principal', 'science')"
IQVIA,"('**  clinical research', 'healthcare protocols', 'study coordination', 'data entry', 'interpersonal communication **', 'principal', 'science')"
"World Overseas immigration Consultancy Pvt Ltd
     (More Jobs)","('lab technician', 'cathlab', 'cath lab', 'cardiac', 'icu', 'cardiology', 'neurology', 'nicu', 'dialysis', 'critical care', 'nurse', 'staff nurse', 'anm', 'gnm', 'bsc', 'ot', 'uk', 'uk recruitment', 'nursing')"
vivo healthcare pvt ltd.,"('gnm', 'nursing', 'training in classroom')"
Arkray Healthcare Pvt Ltd,"('nursing', 'healthcare', 'actively participating')"
Babycell,"('blood collection', 'paramedic', 'nursing')"
"2COMS Consulting Pvt Ltd
     (More Jobs)","('ielts  /  oet certified nurse',)"
"Space COnsultant
     (More Jobs)","('dental nurse', 'dentist', 'dental')"
IQVIA,"('**  clinical education', 'medical device training', 'peer to peer consultation', 'client need assessment', 'clinical expertise **', 'nursing', 'oncology', 'healthcare', 'nurse', 'physician', 'icu', 'patient care', 'iv', 'cardiac')"
IQVIA,"('clinical education', 'iv infusion pumps', 'healthcare training', 'medical devices', 'peer to peer training', 'nursing', 'oncology', 'nurse', 'physician', 'icu', 'patient care', 'cardiac')"
Dolphin Placements,"('nursing staff', 'pediatrics', 'emergency', 'nursing', 'medicine', 'healthcare', 'pediatrician')"
Manipal Hospitals Pvt Ltd,"('nursing', 'health', 'medicine', 'nutrition', 'dietetics', 'nursing staff', 'clinical nutrition')"
